flight_number,departure_station_code,arrival_station_code,scheduled_departure_dtl,entree_product_id,entree_description,entree_code,planned_entree_count,consumed_entree_count
1998,IAX,SFX,9/10/2022,60549,Vegetarian chili and polenta cake,V,2,0
2296,ORX,YYX,9/10/2022,58272,Horchata steel cut oatmeal,OM,1,0
2351,SAX,ORX,9/11/2022,58574,Belgium waffle,WF,6,3
5681,IAX,ASX,9/23/2022,60985,Zatar chicken,C,4,1
1482,SNX,IAX,9/23/2022,60983,Zatar chicken,C,10,6
1587,DEX,LGX,9/24/2022,58981,Scrambled eggs,O,5,5
4782,DTX,IAX,9/24/2022,57994,Classic selection cheese tray,O,12,9
204,ORX,LAX,9/26/2022,58766,Gingerbread French Toast,FT,1,0
453,SFX,ORX,9/28/2022,58563,Tomato and kale baked egg,E,2,2
2131,SMX,DEX,9/29/2022,60983,Zatar chicken,C,24,20
248,LAX,EWX,9/2/2022,58488,Tapas,O2,8,8
2654,IAX,ORX,9/13/2022,58574,Belgium waffle,WF,5,3
1250,EWX,PHX,9/13/2022,61360,Brioche cheeseburger,B,2,0
1119,CUX,SFX,9/15/2022,58110,Vegetarian entree,V,8,0
2368,PIX,SFX,9/18/2022,58981,Scrambled eggs,O,8,0
399,EWX,TPX,9/18/2022,61360,Brioche cheeseburger,B,2,0
1487,EWX,DEX,9/19/2022,60549,Vegetarian chili and polenta cake,V,1,0
331,LAX,ORX,9/19/2022,60983,Zatar chicken,C,12,0
331,LAX,ORX,9/19/2022,61360,Brioche cheeseburger,B,2,0
2430,ORX,BOX,9/20/2022,58766,Gingerbread French Toast,FT,1,0
2196,ORX,IAX,9/22/2022,60987,Impossible Meatball Bowl,V,6,3
727,DEX,CMX,9/26/2022,60987,Impossible Meatball Bowl,V,6,5
2032,IAX,RNX,9/28/2022,60549,Vegetarian chili and polenta cake,V,1,0
1931,ORX,MIX,9/1/2022,61529,Zatar chicken,C,7,5
2133,DEX,SMX,9/3/2022,61530,Impossible Meatball Bowl,V,4,0
548,IAX,SFX,9/13/2022,58981,Scrambled eggs,O,9,0
1139,GUX,LAX,9/14/2022,58106,Savory breakfast entree,BR,6,0
1064,EWX,MEX,9/14/2022,58019,Belgium waffle,WF,6,0
1712,SEX,DEX,9/15/2022,58019,Belgium waffle,WF,8,0
2498,SEX,ORX,9/26/2022,60987,Impossible Meatball Bowl,V,18,12
468,BOX,DEX,9/4/2022,58981,Scrambled eggs,O,10,0
2164,ORX,LAX,9/5/2022,58019,Belgium waffle,WF,6,0
319,DEX,EUX,9/6/2022,61360,Brioche cheeseburger,B,2,0
1765,SFX,IAX,9/7/2022,58563,Tomato and kale baked egg,E,1,0
1252,IAX,SAX,9/9/2022,58764,Mediterranean Falafel Bowl,V,4,0
1508,DEX,SAX,9/11/2022,60549,Vegetarian chili and polenta cake,V,1,1
1687,SEX,IAX,9/14/2022,58019,Belgium waffle,WF,10,0
1561,SJX,EWX,9/15/2022,58109,Chicken breast entree,C,9,0
2319,LGX,DEX,9/17/2022,60987,Impossible Meatball Bowl,V,6,6
334,BOX,LAX,9/17/2022,60983,Zatar chicken,C,24,11
2324,ORX,MCX,9/18/2022,58766,Gingerbread French Toast,FT,2,1
2201,EWX,SAX,9/18/2022,52133,Gluten-free Meal,GF,2,1
1140,EWX,PBX,9/19/2022,60987,Impossible Meatball Bowl,V,10,9
1167,SAX,EWX,9/20/2022,53130,ASIAN VEGETARIAN MEAL,AV,2,0
1885,EWX,RSX,9/23/2022,60549,Vegetarian chili and polenta cake,V,1,0
1640,OGX,SFX,9/25/2022,60458,Crispy Hawaiian garlic tofu,V,6,0
1241,EWX,MIX,9/3/2022,61529,Zatar chicken,C,6,0
1458,MFX,DEX,9/5/2022,58090,Classic selection cheese tray,O,16,12
795,EWX,SAX,9/5/2022,58766,Gingerbread French Toast,FT,2,1
1121,DEX,JAX,9/9/2022,58764,Mediterranean Falafel Bowl,V,1,0
331,LAX,ORX,9/10/2022,60987,Impossible Meatball Bowl,V,8,0
582,DEX,INX,9/10/2022,58563,Tomato and kale baked egg,E,2,0
727,DEX,CMX,9/10/2022,58981,Scrambled eggs,O,6,0
1055,EWX,CUX,9/11/2022,58563,Tomato and kale baked egg,E,1,0
2336,LAX,EWX,9/12/2022,50950,Butternut squash ravioli,P,10,0
2105,DCX,DEX,9/14/2022,60987,Impossible Meatball Bowl,V,12,8
1889,ORX,LAX,9/25/2022,58563,Tomato and kale baked egg,E,1,0
1019,IAX,CUX,9/28/2022,61360,Brioche cheeseburger,B,2,0
1730,DEX,EWX,9/30/2022,58563,Tomato and kale baked eggwhite pastry with fire ro,E,1,7
2262,FLX,IAX,9/30/2022,58019,Belgium waffle,WF,20,16
2391,ORX,ANX,9/3/2022,58981,Scrambled eggs,O,11,8
2484,ORX,PDX,9/4/2022,58766,Gingerbread French Toast,FT,1,0
1460,POX,IAX,9/13/2022,58110,Vegetarian entree,V,6,4
2319,LGX,DEX,9/1/2022,60987,Impossible Meatball Bowl,V,6,5
1749,IAX,JAX,9/3/2022,60987,Impossible Meatball Bowl,V,6,1
1099,DEX,CZX,9/3/2022,60987,Impossible Meatball Bowl,V,4,4
2471,RNX,DEX,9/3/2022,61529,Zatar chicken,C,7,0
1296,LAX,LIX,9/3/2022,57484,Tomato and kale baked egg,E,5,0
1756,EWX,IAX,9/4/2022,58981,Scrambled eggs,O,16,14
1737,DEX,OGX,9/12/2022,57751,Grilled chicken,C,12,12
1041,EWX,AUX,9/13/2022,58019,Belgium waffle,WF,7,5
268,BOX,DEX,9/3/2022,58981,Scrambled eggs,O,8,7
1937,EWX,DEX,9/3/2022,60987,Impossible Meatball Bowl,V,6,3
1859,IAX,AUX,9/6/2022,60987,Impossible Meatball Bowl,V,4,0
1083,LAX,EWX,9/1/2022,53014,Thai chicken,C,31,0
414,IAX,MCX,9/9/2022,58019,Belgium waffle,WF,6,0
231,DCX,IAX,9/10/2022,61524,Scrambled eggs,O,6,6
1877,IAX,EWX,9/10/2022,60549,Vegetarian chili and polenta cake,V,2,2
1195,ORX,SEX,9/12/2022,58019,Belgium waffle,WF,10,10
1422,DEX,SAX,9/15/2022,60987,Impossible Meatball Bowl,V,5,5
2123,EWX,PUX,9/16/2022,58981,Scrambled eggs,O,20,10
1416,DEX,IAX,9/18/2022,58019,Belgium waffle,WF,7,3
286,ORX,SNX,9/19/2022,58272,Horchata steel cut oatmeal,OM,4,0
1195,ORX,SEX,9/22/2022,58766,Gingerbread French Toast,FT,4,0
684,DEX,SFX,9/22/2022,60549,Vegetarian chili and polenta cake,V,8,4
2133,SMX,IAX,9/22/2022,60987,Impossible Meatball Bowl,V,6,0
2381,ORX,DEX,9/24/2022,60987,Impossible Meatball Bowl,V,7,7
483,BOX,ORX,9/26/2022,58981,Scrambled eggs,O,20,20
1439,EWX,DEX,9/27/2022,58981,Scrambled eggs,O,8,8
2679,ORX,SFX,9/27/2022,58981,Scrambled eggs,O,14,14
2201,EWX,SAX,9/27/2022,60983,Zatar chicken,C,6,0
1967,MSX,EWX,9/30/2022,60983,Zatar chicken,C,7,0
1097,IAX,SJX,9/1/2022,58019,Belgium waffle,WF,7,7
1288,FCX,ORX,9/2/2022,60987,Impossible Meatball Bowl,V,8,3
2679,ORX,SFX,9/3/2022,58981,Scrambled eggs,O,7,7
1741,ORX,RSX,9/4/2022,61524,Scrambled eggs,O,6,3
791,ORX,YVX,9/16/2022,60983,Zatar chicken,C,18,18
2277,IAX,LAX,9/16/2022,60983,Zatar chicken,C,10,10
2666,ORX,IAX,9/20/2022,61360,Brioche cheeseburger,B,2,0
2327,ORX,TPX,9/22/2022,58766,Gingerbread French Toast,FT,2,0
1250,EWX,PHX,9/22/2022,61360,Brioche cheeseburger,B,3,0
618,DEX,ORX,9/22/2022,60549,Vegetarian chili and polenta cake,V,1,1
2151,IAX,YYX,9/24/2022,58563,Tomato and kale baked egg,E,4,4
2615,LAX,EWX,9/26/2022,17222,Gluten-free Meal,GF,1,1
1242,LAX,DEX,9/29/2022,61360,Brioche cheeseburger,B,3,0
2050,SFX,ABX,9/3/2022,58574,Belgium waffle,WF,4,4
1780,EWX,RSX,9/5/2022,61360,Brioche cheeseburger,B,2,0
1257,RDX,DEX,9/6/2022,58981,Scrambled eggs,O,8,7
514,DEX,PHX,9/6/2022,61524,Scrambled eggs,O,6,0
2131,SMX,DEX,9/6/2022,60987,Impossible Meatball Bowl,V,8,0
1425,ORX,AUX,9/7/2022,61530,Impossible Meatball Bowl,V,4,3
2667,DEX,SNX,9/9/2022,58563,Tomato and kale baked egg,E,1,0
297,IAX,MSX,9/11/2022,61529,Zatar chicken,C,7,0
553,LAX,DEX,9/12/2022,60983,Zatar chicken,C,11,0
2495,IAX,EWX,9/15/2022,60987,Impossible Meatball Bowl,V,2,0
1199,ORX,CUX,9/19/2022,58019,Belgium waffle,WF,7,0
358,COX,ORX,9/19/2022,61530,Impossible Meatball Bowl,V,5,3
1241,RDX,DEX,9/20/2022,60987,Impossible Meatball Bowl,V,6,0
2415,DEX,SBX,9/21/2022,61360,Brioche cheeseburger,B,2,0
590,DEX,EUX,9/23/2022,61360,Brioche cheeseburger,B,1,0
601,EWX,LAX,9/5/2022,58019,Belgium waffle,WF,4,0
287,CLX,DEX,9/8/2022,60983,Zatar chicken,C,10,0
1549,IAX,DEX,9/10/2022,60983,Zatar chicken,C,6,4
2359,JAX,IAX,9/14/2022,58019,Belgium waffle,WF,6,3
2104,PDX,ORX,9/15/2022,60987,Impossible Meatball Bowl,V,8,3
462,DEX,IAX,9/16/2022,61360,Brioche cheeseburger,B,6,6
706,DCX,IAX,9/21/2022,60987,Impossible Meatball Bowl,V,5,1
1795,OGX,SFX,9/10/2022,53158,Vegetarian entree,VG,1,0
2109,EWX,SAX,9/12/2022,60983,Zatar chicken,C,22,7
1126,DEX,CUX,9/12/2022,60987,Impossible Meatball Bowl,V,8,7
413,SFX,MEX,9/16/2022,61360,Brioche cheeseburger,B,1,0
1591,EWX,IAX,9/18/2022,60983,Zatar chicken,C,9,3
1710,ORX,SAX,9/21/2022,58019,Belgium waffle,WF,6,0
2451,IAX,DEX,9/28/2022,58019,Belgium waffle,WF,8,6
2390,ORX,RSX,9/25/2022,61360,Brioche cheeseburger,B,2,0
585,PHX,EWX,9/29/2022,53130,ASIAN VEGETARIAN MEAL,AV,2,2
381,ORX,PDX,9/30/2022,60983,Zatar chicken,C,6,0
1628,SEX,IAX,9/30/2022,61529,Zatar chicken,C,7,7
2403,LGX,DEX,9/1/2022,61529,Zatar chicken,C,7,4
1190,SFX,SJX,9/2/2022,58272,Horchata steel cut oatmeal,OM,1,0
749,ORX,SEX,9/4/2022,58019,Belgium waffle,WF,3,0
553,LAX,DEX,9/8/2022,61360,Brioche cheeseburger,B,3,3
655,AUX,IAX,9/8/2022,58090,Classic selection cheese tray,O,12,8
2153,SJX,DEX,9/8/2022,58110,Vegetarian entree,V,12,4
539,ORX,FCX,9/10/2022,58574,Belgium waffle,WF,4,2
639,MCX,ORX,9/13/2022,58981,Scrambled eggs,O,12,0
1836,EWX,MSX,9/13/2022,61530,Impossible Meatball Bowl,V,3,2
2243,ORX,SFX,9/1/2022,58981,Scrambled eggs,O,16,16
5773,TYX,DEX,9/5/2022,57994,Classic selection cheese tray,O,6,0
1436,SFX,IAX,9/7/2022,60987,Impossible Meatball Bowl,V,16,10
1577,EWX,TPX,9/8/2022,61360,Brioche cheeseburger,B,3,3
2088,DEX,IAX,9/8/2022,60983,Zatar chicken,C,17,15
2323,IAX,BWX,9/10/2022,61529,Zatar chicken,C,7,6
2059,IAX,IAX,9/12/2022,58019,Belgium waffle,WF,9,4
1772,SEX,ORX,9/13/2022,58981,Scrambled eggs,O,10,10
6093,IAX,DCX,9/13/2022,57994,Classic selection cheese tray,O,5,0
2331,PHX,EWX,9/14/2022,61529,Zatar chicken,C,7,5
1896,IAX,PHX,9/15/2022,58981,Scrambled eggs,O,14,7
1896,IAX,PHX,9/15/2022,58766,Gingerbread French Toast,FT,2,0
362,DEX,BOX,9/16/2022,58563,Tomato and kale baked egg,E,1,0
2267,LAX,EWX,9/23/2022,58981,Scrambled eggs,O,10,5
2682,DEX,SFX,9/24/2022,60987,Impossible Meatball Bowl,V,22,9
609,LAX,YVX,9/27/2022,60987,Impossible Meatball Bowl,V,12,6
727,DEX,CMX,9/27/2022,61360,Brioche cheeseburger,B,2,0
1692,CUX,DEX,9/7/2022,58109,Chicken breast entree,C,24,24
1814,IAX,LAX,9/8/2022,60549,Vegetarian chili and polenta cake,V,1,0
2399,TPX,IAX,9/9/2022,60987,Impossible Meatball Bowl,V,6,2
1984,MSX,DEX,9/10/2022,61530,Impossible Meatball Bowl,V,5,2
308,SEX,EWX,9/13/2022,58981,Scrambled eggs,O,8,8
2185,MCX,EWX,9/13/2022,60987,Impossible Meatball Bowl,V,6,4
1669,IAX,CLX,9/14/2022,61360,Brioche cheeseburger,B,2,0
1744,IAX,CVX,9/18/2022,60987,Impossible Meatball Bowl,V,7,7
1889,ORX,LAX,9/26/2022,58272,Horchata steel cut oatmeal,OM,1,0
1278,CUX,LAX,9/8/2022,58110,Vegetarian entree,V,8,0
1682,SFX,CMX,9/13/2022,60987,Impossible Meatball Bowl,V,5,5
312,BOX,LAX,9/14/2022,58981,Scrambled eggs,O,10,8
393,SFX,DEX,9/16/2022,61530,Impossible Meatball Bowl,V,4,0
548,IAX,SFX,9/16/2022,58981,Scrambled eggs,O,10,10
2605,EWX,SAX,9/13/2022,60987,Impossible Meatball Bowl,V,4,0
2677,ORX,LAX,9/14/2022,60549,Vegetarian chili and polenta cake,V,4,0
668,IAX,LAX,9/17/2022,58981,Scrambled eggs,O,8,6
469,LAX,EWX,9/19/2022,60983,Zatar chicken,C,12,8
1875,YVX,DEX,9/21/2022,61530,Impossible Meatball Bowl,V,5,5
2204,EWX,LAX,9/24/2022,54076,Cacio e Pepe ravioli,P,13,13
1627,MCX,ORX,9/25/2022,60987,Impossible Meatball Bowl,V,8,4
1893,DEX,BOX,9/27/2022,60983,Zatar chicken,C,8,7
2338,IAX,PHX,9/28/2022,60983,Zatar chicken,C,6,0
1488,IAX,SAX,9/29/2022,58019,Belgium waffle,WF,8,0
1445,SFX,IAX,9/30/2022,61360,Brioche cheeseburger,B,3,0
1546,DEX,LGX,9/19/2022,58574,Belgium waffle,WF,4,1
399,EWX,TPX,9/19/2022,61360,Brioche cheeseburger,B,1,0
1556,IAX,SEX,9/23/2022,58981,Scrambled eggs,O,16,7
2271,DEX,SMX,9/23/2022,60549,Vegetarian chili and polenta cake,V,1,0
1087,BOX,IAX,9/24/2022,60987,Impossible Meatball Bowl,V,16,2
1078,DEX,SEX,9/26/2022,58272,Horchata steel cut oatmeal,OM,2,1
1894,IAX,SFX,9/26/2022,60549,Vegetarian chili and polenta cake,V,2,0
1666,SFX,BOX,9/26/2022,60983,Zatar chicken,C,22,0
1107,DEX,INX,9/8/2022,60987,Impossible Meatball Bowl,V,6,0
2383,IAX,PHX,9/9/2022,60549,Vegetarian chili and polenta cake,V,1,1
1620,IAX,CUX,9/11/2022,58981,Scrambled eggs,O,8,0
1111,OGX,LAX,9/13/2022,60458,Crispy Hawaiian garlic tofu,V,6,0
2110,PIX,DEX,9/16/2022,58019,Belgium waffle,WF,20,0
1422,DEX,SAX,9/20/2022,60549,Vegetarian chili and polenta cake,V,2,0
1187,DFX,ORX,9/9/2022,61530,Impossible Meatball Bowl,V,5,4
791,ORX,YVX,9/18/2022,60987,Impossible Meatball Bowl,V,6,0
2290,ORX,PDX,9/23/2022,58766,Gingerbread French Toast,FT,2,1
2111,ORX,SMX,9/24/2022,60983,Zatar chicken,C,14,6
427,SLX,EWX,9/26/2022,61530,Impossible Meatball Bowl,V,5,0
1917,IAX,PTX,9/28/2022,58272,Horchata steel cut oatmeal,OM,2,1
2059,IAX,IAX,9/28/2022,58019,Belgium waffle,WF,7,7
1147,ORX,MBX,9/3/2022,58766,Gingerbread French Toast,FT,3,0
791,ORX,GEX,9/4/2022,61360,Brioche cheeseburger,B,5,0
1764,SFX,AUX,9/7/2022,58764,Mediterranean Falafel Bowl,V,2,2
592,SEX,EWX,9/14/2022,53130,ASIAN VEGETARIAN MEAL,AV,2,2
2655,BNX,SFX,9/26/2022,61529,Zatar chicken,C,7,7
1641,SFX,ORX,9/26/2022,60983,Zatar chicken,C,16,0
703,CLX,IAX,9/29/2022,60983,Zatar chicken,C,7,7
684,DEX,SFX,9/27/2022,60549,Vegetarian chili and polenta cake,V,3,0
1005,LAX,ITX,9/27/2022,53014,Thai chicken,C,9,5
621,STX,EWX,9/29/2022,60983,Zatar chicken,C,12,12
2615,LAX,EWX,9/30/2022,53014,Thai chicken,C,31,0
1893,DEX,BOX,9/30/2022,61360,Brioche cheeseburger,B,1,1
1587,DEX,LGX,9/14/2022,58766,Gingerbread French Toast,FT,2,0
2359,IAX,SAX,9/23/2022,58766,Gingerbread French Toast,FT,1,0
1889,ORX,LAX,9/14/2022,58981,Scrambled eggs,O,8,0
2627,SFX,IAX,9/20/2022,60987,Impossible Meatball Bowl,V,5,2
2308,DEX,LIX,9/21/2022,57751,Grilled chicken,C,6,6
1707,ITX,LAX,9/27/2022,58357,Thai chicken,C,14,5
2672,IAX,SAX,9/19/2022,61524,Scrambled eggs,O,7,7
2472,SAX,EWX,9/23/2022,58019,Belgium waffle,WF,8,0
1600,IAX,LAX,9/24/2022,60987,Impossible Meatball Bowl,V,6,0
327,IAX,SEX,9/27/2022,60987,Impossible Meatball Bowl,V,7,0
1549,IAX,DEX,9/28/2022,61360,Brioche cheeseburger,B,2,2
2489,SJX,DEX,9/28/2022,61529,Zatar chicken,C,7,5
2053,ORX,DFX,9/27/2022,58019,Belgium waffle,WF,14,4
5794,SJX,DEX,9/29/2022,57994,Classic selection cheese tray,O,6,2
2178,PDX,ORX,9/29/2022,60983,Zatar chicken,C,12,0
1597,DEX,ATX,9/30/2022,61360,Brioche cheeseburger,B,2,0
474,DEX,PDX,9/28/2022,61360,Brioche cheeseburger,B,2,0
2170,ORX,SFX,9/27/2022,60987,Impossible Meatball Bowl,V,19,0
1250,EWX,PHX,9/29/2022,60983,Zatar chicken,C,9,9
555,DEX,RNX,9/30/2022,60549,Vegetarian chili and polenta cake,V,2,0
1497,FLX,EWX,9/23/2022,61529,Zatar chicken,C,7,4
348,DEX,SAX,9/24/2022,60983,Zatar chicken,C,3,0
1183,DEX,SMX,9/24/2022,60983,Zatar chicken,C,9,0
2651,LAX,HNX,9/30/2022,54759,Seared beef short rib,B,4,0
265,SAX,DEX,9/28/2022,61530,Impossible Meatball Bowl,V,5,0
2105,DCX,DEX,9/7/2022,60983,Zatar chicken,C,10,9
1546,DEX,LGX,9/2/2022,61524,Scrambled eggs,O,4,3
1744,IAX,CVX,9/7/2022,58764,Mediterranean Falafel Bowl,V,1,0
1291,IAX,SAX,9/15/2022,60987,Impossible Meatball Bowl,V,7,0
5762,ORX,COX,9/14/2022,57994,Classic selection cheese tray,O,5,0
2441,ORX,AUX,9/27/2022,61360,Brioche cheeseburger,B,1,0
594,DEX,IAX,9/14/2022,60987,Impossible Meatball Bowl,V,6,5
2359,IAX,SAX,9/18/2022,58272,Horchata steel cut oatmeal,OM,1,1
412,DEX,LGX,9/28/2022,60987,Impossible Meatball Bowl,V,4,2
516,JFX,LAX,9/30/2022,54076,Cacio e Pepe ravioli,P,5,4
724,ORX,PHX,9/27/2022,60983,Zatar chicken,C,13,11
692,ORX,DEX,9/12/2022,58019,Belgium waffle,WF,12,10
5600,MKX,IAX,9/14/2022,57994,Classic selection cheese tray,O,12,0
793,LAX,EWX,9/14/2022,53014,Thai chicken,C,11,5
2308,DEX,LIX,9/29/2022,58676,Butternut squash schnitzel,V,5,0
2032,IAX,RNX,9/11/2022,61530,Impossible Meatball Bowl,V,2,2
1937,IAX,MSX,9/27/2022,61360,Brioche cheeseburger,B,5,0
1931,ORX,MIX,9/13/2022,61360,Brioche cheeseburger,B,2,0
2271,DEX,SMX,9/13/2022,60983,Zatar chicken,C,7,6
2441,ORX,AUX,9/8/2022,61529,Zatar chicken,C,5,3
1136,IAX,DCX,9/9/2022,61360,Brioche cheeseburger,B,4,0
1620,IAX,CUX,9/22/2022,58563,Tomato and kale baked egg,E,2,0
1418,DEX,RDX,9/3/2022,60983,Zatar chicken,C,11,0
2456,ORX,JAX,9/25/2022,61530,Impossible Meatball Bowl,V,4,3
377,AUX,IAX,9/23/2022,60987,Impossible Meatball Bowl,V,5,4
2631,SFX,PHX,9/18/2022,60987,Impossible Meatball Bowl,V,6,0
2621,EWX,PBX,9/28/2022,58981,Scrambled eggs,O,8,5
529,ORX,SFX,9/24/2022,60987,Impossible Meatball Bowl,V,12,0
2667,DEX,SNX,9/1/2022,58981,Scrambled eggs,O,7,7
2040,LAX,ORX,9/1/2022,58981,Scrambled eggs,O,10,5
2123,EWX,PUX,9/1/2022,58019,Belgium waffle,WF,9,7
1454,SFX,ORX,9/2/2022,61360,Brioche cheeseburger,B,5,0
795,EWX,SAX,9/3/2022,58272,Horchata steel cut oatmeal,OM,1,0
1413,EWX,MIX,9/6/2022,60983,Zatar chicken,C,9,7
437,SFX,BWX,9/8/2022,60549,Vegetarian chili and polenta cake,V,1,0
1567,IAX,MEX,9/10/2022,58764,Mediterranean Falafel Bowl,V,1,2
1023,DEX,PIX,9/13/2022,61360,Brioche cheeseburger,B,3,3
2127,EWX,MBX,9/13/2022,58981,Scrambled eggs,O,14,0
557,SFX,DEX,9/14/2022,60983,Zatar chicken,C,5,5
2433,DEX,GRX,9/14/2022,61360,Brioche cheeseburger,B,5,5
1517,LIX,IAX,9/14/2022,58109,Chicken breast entree,C,10,0
2122,IAX,SNX,9/19/2022,60983,Zatar chicken,C,14,12
1537,IAX,EWX,9/20/2022,58272,Horchata steel cut oatmeal,OM,2,2
2347,SFX,DFX,9/20/2022,61530,Impossible Meatball Bowl,V,5,3
1689,IAX,IAX,9/20/2022,61524,Scrambled eggs,O,5,4
301,SFX,HNX,9/1/2022,53014,Thai chicken,C,12,0
2031,DEX,CUX,9/2/2022,58766,Gingerbread French Toast,FT,4,2
1955,SFX,DCX,9/4/2022,58563,Tomato and kale baked egg,E,3,0
728,PTX,EWX,9/5/2022,53154,Vegetarian entree,VG,1,0
1009,BOX,SFX,9/5/2022,58981,Scrambled eggs,O,10,0
1446,IAX,LAX,9/7/2022,61530,Impossible Meatball Bowl,V,4,0
2046,DEX,TPX,9/10/2022,58563,Tomato and kale baked egg,E,3,3
1746,SFX,IAX,9/1/2022,58764,Mediterranean Falafel Bowl,FB,2,2
2231,ORX,DFX,9/3/2022,61360,Brioche cheeseburger,B,3,0
615,IAX,SMX,9/3/2022,58764,Mediterranean Falafel Bowl,V,2,1
547,SAX,IAX,9/1/2022,58019,Belgium waffle,WF,10,6
1196,IAX,IAX,9/3/2022,58764,Mediterranean Falafel Bowl,V,2,0
