flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,ques_verbatim_text,loyalty_program_level,fleet_type_description,fleet_usage,response_group
683,EWX,SFX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,Beef was too tough to cut or chew.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member
1635,MCX,IAX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,no.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
2071,LAX,DEX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,Chicken sattar was dry and bland.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member
1827,SFX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,Grateful United has lemons for tea and coke. No other airline does!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-900,Mainline,member
1231,YVX,SFX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,Out of apple juice.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
1650,SFX,CMX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,I would have preferred bottled water. Not a big deal as it was a red eye flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
965,EWX,NAX,2022-09-02,Early & Ontime,Delayed,Atlantic,Having some fresh fruit options (just like apples or oranges or something) would be very nice. It is hard to get fresh fruits and veggies at the airport. Also having a small salad with the meal would be recommended over a noodle starter. Thank you!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member
1673,ORX,EWX,2022-09-01,Early & Ontime,Early & Ontime,Domestic,Need kosher creamer.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-900,Mainline,member
1667,SFX,EWX,2022-09-03,Early & Ontime,Delayed,Domestic,The chicken entree was a thai chicken noodle. The problem is thai food tends to contain peanuts and neither of the stewardesses knew if this entree contained peanuts which is important because my son has a peanut allergy.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member
1723,OGX,SFX,2022-09-03,Early & Ontime,Delayed,Domestic,"Would like to see a more meal selection, better snacks. like nuts/fruit etc.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
1523,FLX,EWX,2022-09-03,Delayed,Early & Ontime,Domestic,The travelers should be given 2 snacks instead of 1.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
1571,BZX,IAX,2022-09-03,Early & Ontime,Early & Ontime,Latin,"I and my wife did not partake in the complimentary meal that was served. However, we did not receive anything else until we asked for a few snacks. Attendent needed to be more attentive to this.",70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
494,CLX,IAX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,Short flight offered a cup of water which was nice.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-700,Mainline,member
982,DUX,ORX,2022-09-03,Delayed,Delayed,Atlantic,white wine had gone bad;. make sure they cork the bottles or empty them out between flights.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B757-200,Mainline,non-member
4725,FCX,SFX,2022-09-03,Early & Ontime,Early & Ontime,Domestic,Not many it any gluten intolerant options. So much bread and cookies that I could not eat.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
1223,EWX,SJX,2022-09-03,Early & Ontime,Early & Ontime,Latin,Please improve the coffe.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
301,SFX,HNX,2022-09-03,Early & Ontime,Delayed,Domestic,"In the pre-order menu the burger, breakfast sandwich, and oatmeal were not offered. Would have preferred one of those to getting the snack box. Would like to purchase a second alcoholic beverage.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-200,Mainline,member
775,MCX,IAX,2022-09-03,Delayed,Early & Ontime,Domestic,No.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
68,KOX,ORX,2022-09-03,Delayed,Delayed,Domestic,That was by far the best food I have ever had on a flight!. I have flown to Africa and back many times and never had a meal as delicious as that!.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-10,Mainline,non-member
364,EWX,HNX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,Breakfast was good as well.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member
2099,IAX,MCX,2022-09-04,Early & Ontime,Early & Ontime,Domestic,I wish there was a wider selection of snacks to buy on the plane.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
5,LHX,IAX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,Quality of the meal was fair at best.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member
5,LHX,IAX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,"Unusually the in flight food was quite satisfying and tasty, could have been a little bigger…especially the ice cream given as dessert. But on a whole very good all round.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member
122,BCX,EWX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,The burger for the lunch meal did not taste that great. Especially for a first class meal a heated up burger was lacking compared to ticket price. The only other feedback is the amount of times someone came with the beverage cart compared to other airlines. Other airlines it was more frequent.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-200,Mainline,member
13,ZRX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,Food quality probably was not up to par with Polaris cabin.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B767-300,Mainline,member
13,ZRX,ORX,2022-09-04,Early & Ontime,Early & Ontime,Atlantic,Please provide more range of vegetarian food.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member
725,HNX,SFX,2022-09-04,Early & Ontime,Delayed,Domestic,"on our return flight we were asked to choose either a cookie or pretzels, on our outbound flight we were given both, it should have been consistent.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
5041,DEX,LBX,2022-09-03,Delayed,Early & Ontime,Domestic,"on the other flight, I appreciated the Illy coffee.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,CRJ-200,Express,non-member
1901,COX,DEX,2022-09-05,Delayed,Early & Ontime,Domestic,It is a really short flight. they did not even offer us water.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
1950,IAX,CLX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,Flight ran out of cookies and being towards the back of the plane I had to opt for pretzels.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
220,ORX,HNX,2022-09-05,Early & Ontime,Delayed,Domestic,Very impressed with the quality and quantity.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member
383,IAX,SAX,2022-09-05,Early & Ontime,Delayed,Domestic,We never got any food or beverages.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
5572,SBX,SFX,2022-09-05,Early & Ontime,Delayed,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-175,Express,member
2110,PIX,DEX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2110,PIX,DEX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
1888,DEX,BDX,2022-09-05,Delayed,Delayed,Domestic,I would like a bottle of water.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
555,EWX,DFX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,no.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
1223,EWX,SJX,2022-09-05,Early & Ontime,Early & Ontime,Latin,I was charged me so much for a short trip. the options for beverage were Coke or water. How cheap this company has became!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
1040,AUX,EWX,2022-09-04,Delayed,Early & Ontime,Latin,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
2629,PHX,IAX,2022-09-06,Early & Ontime,Early & Ontime,Domestic,Please add a diet caffeine free soda such as Sprite Zero or diet ginger ale. We had breakfast as we were in business. The breakfast was great!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
871,SYX,SFX,2022-09-06,Early & Ontime,Delayed,Pacific,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member
617,ORX,DCX,2022-09-05,Early & Ontime,Early & Ontime,Domestic,Why do not you offer any free snacks?.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A320-200,Mainline,member
532,ANX,ORX,2022-09-05,Early & Ontime,Delayed,Domestic,Coffee was served very hot…a nice surprise.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member
84,DEX,EWX,2022-09-06,Early & Ontime,Early & Ontime,Atlantic,I think In long 16 hour flight the vegetarian menu should be more elaborate.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-9,Mainline,non-member
427,SLX,EWX,2022-09-06,Delayed,Delayed,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
1034,PTX,IAX,2022-09-06,Early & Ontime,Early & Ontime,Latin,Staff very attentive.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
48,FRX,IAX,2022-09-07,Early & Ontime,Delayed,Atlantic,Bring back the Continental Ice Cream service please!!!!!.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B777-200,Mainline,member
1546,DEX,LGX,2022-09-07,Delayed,Delayed,Domestic,The flight attendant was hard working and friendly!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
1181,SAX,DEX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,nothing more.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member
2104,PDX,ORX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,The food was too spicy.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A319-100,Mainline,member
936,LHX,LAX,2022-09-07,Delayed,Early & Ontime,Atlantic,Offering a whole piece of fruit would have been nice.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member
1790,TPX,LAX,2022-09-07,Early & Ontime,Delayed,Domestic,should give out bottles of water vs cups on a long flight.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A320-200,Mainline,member
2147,LAX,DEX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,All complimentary items must be given to everyone without asking the passengers.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
2308,DEX,LIX,2022-09-07,Early & Ontime,Early & Ontime,Domestic,Great.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-200,Mainline,member
4386,MHX,EWX,2022-09-07,Delayed,Delayed,Domestic,Could use a bit of freshening up the food selection in First Class.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-550,Express,member
5360,JAX,DEX,2022-09-02,Early & Ontime,Early & Ontime,Domestic,"Loved the flavored Aha sparkling water. Thank you!. Since you took peanuts away, a gluten free pretzel or option would be amazing.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member
390,EWX,DEX,2022-09-08,Delayed,Delayed,Domestic,"Tje Brioche cheeseburger is really good, but ketchup and mustard should also be provided.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
5512,OMX,DEX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,There we are nö snacks Like Chips/pretzels.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,CRJ-200,Express,member
864,SFX,SYX,2022-09-07,Early & Ontime,Delayed,Pacific,"We were fine in business our kids that had flown you business over with us and we could only get premium economy back could get even a glass of water and not one meal of choice that was selected was received and yet they watched the meal they had choice, be handed out all through economy. So they paid more for less service.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-300,Mainline,non-member
1878,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,Nothing else because I am ok with water.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-200,Mainline,member
1878,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,I would like to have a change in the menu if possible. I have had the chicken and meatballs many times now.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
5477,LIX,DEX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,your snacks only cater to the general public. How about have at least one item cater to customer with diabetes.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,ERJ-175,Express,member
5338,TUX,IAX,2022-09-08,Delayed,Early & Ontime,Domestic,I had my own water because I do not like the taste of Dasiana. The size portion is really so small for the price of our tickets.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member
83,EWX,DEX,2022-09-09,Early & Ontime,Delayed,Atlantic,A wine list for business class is somewhat expected. We did not get that on this flight.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B787-9,Mainline,member
2676,IAX,LAX,2022-09-08,Early & Ontime,Early & Ontime,Domestic,Coffee was good.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
1631,SEX,DEX,2022-09-09,Early & Ontime,Early & Ontime,Domestic,The meals aim to be creative but I prefer more traditional meals.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B737-900,Mainline,member
1729,SFX,CLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,Better Scotch selection.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
5351,SDX,IAX,2022-09-07,Delayed,Delayed,Domestic,At least this flight provided pretzels. The one to Louisville did not offer anything but a drink.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member
406,DEX,CLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,Very tasty. Nice portion.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member
1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,It pleases me tremendously that United has added sparkling wine to its beverage list.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-800,Mainline,member
1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,"It was the only time I saw a flight attendant, that is good.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
1033,EWX,TPX,2022-09-10,Early & Ontime,Delayed,Domestic,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member
2054,IAX,DEX,2022-09-09,Delayed,Early & Ontime,Domestic,Please provide healthier snack options - sugar and gluten free on the airplane and in the club.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member
989,FRX,IAX,2022-09-10,Early & Ontime,Delayed,Atlantic,The only beers available were Ultra Lite and Stella Artois. There should be at least one more option.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member
989,FRX,IAX,2022-09-10,Early & Ontime,Delayed,Atlantic,The arrival snack which was a cheeseburger was a little dry and tough. Main course meal was good.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-300,Mainline,member
992,BCX,IAX,2022-09-10,Early & Ontime,Early & Ontime,Atlantic,"I just wish I could you le get more yummy desserts!. I wanted the ice cream. I am vegetarian, not vegan. And the sandwich for the second meal was very boring: bread, cucumber and tomato. No taste at all <😊>.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-400,Mainline,non-member
202,HNX,GUX,2022-09-10,Early & Ontime,Early & Ontime,Pacific,Need to change the menu. The food was not to appetizing.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-300,Mainline,member
925,IAX,LHX,2022-09-10,Delayed,Early & Ontime,Atlantic,Breakfast was very small.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B767-300,Mainline,non-member
1141,IAX,TPX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member
683,EWX,SFX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,More options.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B777-300,Mainline,member
339,BTX,IAX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,first class and there are no snack boxes available ?. Come on!. Give us a box please.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,A320-200,Mainline,member
934,FRX,IAX,2022-09-10,Delayed,Delayed,Atlantic,"Loved my gluten-free meal option, but there are no gluten free snacks available. Miss having a gluten-free nut option. ( husband ate my Biscoff).",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member
934,FRX,IAX,2022-09-10,Delayed,Delayed,Atlantic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member
712,EWX,FLX,2022-09-10,Early & Ontime,Early & Ontime,Domestic,No.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member
57,CDX,EWX,2022-09-11,Early & Ontime,Delayed,Atlantic,I would just like to be reimbursed for the extra expense of buying new connecting tickets on to Sardinia.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member
57,CDX,EWX,2022-09-11,Early & Ontime,Delayed,Atlantic,Pleasantly surprised by the quality and diversity of choices.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-300,Mainline,member
83,EWX,DEX,2022-09-11,Delayed,Early & Ontime,Atlantic,You need some non indian options also. Not everyone wants indian food especially when you are headed there for a two week business trip and all you will be eating is indian food. Please give us some other options for dinner and breakfast.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B787-9,Mainline,member
2650,ORX,LAX,2022-09-11,Early & Ontime,Delayed,Domestic,"Had pre ordered drinks. Attendant had no record of pre order. When I inquired about white wine, only choice was Chardonnay. Then requested vodka. Vodka brand served was not the best. My husband's Jack Daniels was what he had requested so that was fine.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-300,Mainline,member
17,EWX,LHX,2022-09-11,Delayed,Early & Ontime,Atlantic,Water bottles are too small. a larger size could be offered.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B767-300,Mainline,member
972,FCX,ORX,2022-09-11,Delayed,Delayed,Atlantic,Snack was better than the dinner.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B787-8,Mainline,member
4398,ORX,GRX,2022-09-11,Early & Ontime,Delayed,Domestic,There was so much turbulence. no drinks were offered.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,CRJ-550,Express,non-member
1129,SFX,EWX,2022-09-11,Delayed,Early & Ontime,Domestic,Please provide light snack.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member
6161,LGX,IAX,2022-09-11,Early & Ontime,Delayed,Domestic,None.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member
64,GRX,IAX,2022-09-11,Early & Ontime,Early & Ontime,Latin,Dinner not that tasty... breakfast should have a savory bread option or similar.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-9,Mainline,member
2028,MSX,EWX,2022-09-07,Delayed,Early & Ontime,Domestic,None.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member
1759,DEX,KOX,2022-09-12,Delayed,Delayed,Domestic,would like ice and lemonade.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B757-200,Mainline,non-member
2175,YYX,ORX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,I would have expected a 2nd service of beverages given the duration of the flight.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A319-100,Mainline,member
1547,SFX,EWX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,"You only have one sugar free soda, and that with caffeine. I think you could do better. How about one sugar free caffeine free offering?. All snacks loaded with sugar. How about some pretzels or something not so loaded with sugar?.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B777-300,Mainline,member
2243,ORX,LAX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,I think it is excellent that you continue to provide Biscoff cookies and Stroopwafels. Truly an experience of decadence in an otherwise humdrum world.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B757-300,Mainline,non-member
2625,LGX,DEX,2022-09-12,Early & Ontime,Early & Ontime,Domestic,Beverage selection was ok.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member
301,SFX,HNX,2022-09-12,Early & Ontime,Delayed,Domestic,"It would be nice if you offered other diet options other than just Diet Coke, like Diet 7Up or Sprite. The quality of food in Business class has always been lacking. I had connected from a flight from Europe on Turkish Airlines. the quality of food was like comparing a 5 star restaurant to McDonalds. No matter what the comments, I highly doubt that United will get on par with the best airlines in the food quality in Business Class as I have heard the same thing from other travelers for many years. United obviously does not consider this to be a priority, whereas they absolutely should.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member
998,ACX,IAX,2022-09-12,Early & Ontime,Early & Ontime,Atlantic,N/A.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-8,Mainline,member
3800,MBX,ORX,2022-09-11,Early & Ontime,Early & Ontime,Domestic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,CRJ-200,Express,member
